,pclass,survived,sex,age,sibsp,parch,fare,embarked
0,1,1,female,29.0,0,0,211.3,S
1,1,1,male,0.9,1,2,151.6,S
2,1,0,female,2.0,1,2,151.6,S
3,1,0,male,30.0,1,2,151.6,S
4,1,0,female,25.0,1,2,151.6,S
5,1,1,male,48.0,0,0,26.6,S
6,1,1,female,63.0,1,0,78.0,S
7,1,0,male,39.0,0,0,0.0,S
8,1,1,female,53.0,2,0,51.5,S
9,1,0,male,71.0,0,0,49.5,C
10,1,0,male,47.0,1,0,227.5,C
11,1,1,female,18.0,1,0,227.5,C
12,1,1,female,24.0,0,0,69.3,C
13,1,1,female,26.0,0,0,78.8,S
14,1,1,male,80.0,0,0,30.0,S
15,1,0,male,28.0,0,0,25.9,S
16,1,0,male,24.0,0,1,247.5,C
17,1,1,female,50.0,0,1,247.5,C
18,1,1,female,32.0,0,0,76.3,C
19,1,0,male,36.0,0,0,75.2,C
20,1,1,male,37.0,1,1,52.6,S
21,1,1,female,47.0,1,1,52.6,S
22,1,1,male,26.0,0,0,30.0,C
23,1,1,female,42.0,0,0,227.5,C
24,1,1,female,29.0,0,0,221.8,S
25,1,0,male,25.0,0,0,26.0,C
26,1,1,male,25.0,1,0,91.1,C
27,1,1,female,19.0,1,0,91.1,C
28,1,1,female,35.0,0,0,135.6,S
29,1,1,male,28.0,0,0,26.6,S
30,1,0,male,45.0,0,0,35.5,S
31,1,1,male,40.0,0,0,31.0,C
32,1,1,female,30.0,0,0,164.9,S
33,1,1,female,58.0,0,0,26.6,S
34,1,0,male,42.0,0,0,26.6,S
35,1,1,female,45.0,0,0,262.4,C
36,1,1,female,22.0,0,1,55.0,S
37,1,1,male,28.0,0,0,26.6,S
38,1,0,male,41.0,0,0,30.5,S
39,1,0,male,48.0,0,0,50.5,C
40,1,0,male,28.0,0,0,39.6,C
41,1,1,female,44.0,0,0,27.7,C
42,1,1,female,59.0,2,0,51.5,S
43,1,1,female,60.0,0,0,76.3,C
44,1,1,female,41.0,0,0,134.5,C
45,1,0,male,45.0,0,0,26.6,S
46,1,0,male,28.0,0,0,31.0,S
47,1,1,male,42.0,0,0,26.3,S
